,sentence
217,""" 라는 반응도 나온다 그런데 수탉은 자기가 먹 방 비제이를 하게 된다면 시청자들은 댓 글의 반이 욕일 거라고 한다."
218,그래도 욕이 반일 것 같은... 게임에 따라 크게 달라지는데 전체적으로는 무난하게 잘하는 편. 실력에 비해 자존심이 센 컨셉이 주된 웃음 포인트이다.
219,아프리카에서 챕터 6을 깬 영상을 보면 떠도는 영혼 설명 옆에 욕설을 적을 정도로 심히 빡 친 모습을 볼 수 있다 아웃 라스트 1 플레이 시간이 2017년 6월 8일 기준으로 585시간이다.
220,물론 유 튜브 편집 본에서는 거의 다 잘린다(...). 물론 그 편집된 인성도 그닥 좋은 느낌은... 잘랐는데도 욕먹었다.
221,비록 어 몽 어스 채팅 창이 긴 하나 방송 중에 수탉이 처음으로 쌍 욕을 한 게임이다.
222,욕설 어떤 방면에서 보든 고의가 아니더라도 욕설을 사용하는 사람은 같습니다
223,:( 욕설 및 성 드립과 패 드립 등을 강하게 금지합니다.
224,또 한 김재원에게 영상을 풀로 올리지 말고 영상 길이를 줄이라고 조언 받았는데 조언대로 줄여서 2~10 분짜리 영상을 만들자 사람들이 형 독에게 욕을 했다고
225,형 독은 또한 혼자서 10분 이상인 영상에는 중간 광고가 하나 붙는다는 것( 일명 '10 분의 과학') 을 발견하는 10분 날먹으로 X 나 욕먹었다고
226,"'' 욕, 성 드립을 많이 했는데 어느 정도 선을 지킨 편이다."
227,"방송 초기에는 욕, 성 드립을 거의 하지 않았고 지금과 달리 진지한 방송을 했었다고."
228,"언제부터 인가 방송 초기 때 만큼은 아니지만 형 독이 욕, 성 드립을 하는 경우가 다시 줄어들었다."
229,아이돌 마스터의 READY!! 라는 덕 후스러운 노래를 매우 틀어 시청자들에게 욕을 먹기도 했다.
230,처음에는 같이 욕하다가 후에는 중독돼서 틀어 달라고 하는 시청자들도 있었다는 게 함정. 시청자들은 형 독이 READY!!를 틀 때 READY!! 의 가 사인 와 타시 넘버원의 초성인 ㅇ ㅌ ㅅ ㄴ ㅂ ㅇ 을 쓰기도 했다.
231,언제부터인가 형 독은 화나는 일이 있을 때 폭풍 욕설 사자후를 하며 태풍을 시전하기 시작했다.
232,"형 독이 카트 라이더 방송을 하고 있을 때 진짜 형 독인 것을 몰랐는지 채팅으로 짭이라면서 형 독에게 욕이나 패드 립을 하는 카트 라이더 유저도 있었고 [38], 형 독을 따라한답시고 ' 봉 쇄죠?' 와 같은 매크로를 도배하면서 팀원이든 상대편이든 상관없이 막아 버리는 카트 라이더 유저도 있었다."
233,"그런 데 2019년 11월 12일 새벽, 형 독의 문 블레이드 X 리뷰 영상에 한 유 튜브 시청자 (A) 가 심한 욕설과 함께 허위사실을 조장하여 형 독을 비난하는 악플을 달았고 해당 악플이 달린 시점에서 30분 이후에 형 독이 공개 처형 겸 해당 악플을 고정시킨 후 해당 악플에 "" 님 자신 있으면 댓 글 지우지 마세요"" 라는 답 글을 달아 화제가 되었다."
234,"항제는 까불거리는 콘셉트를 잡고 형 독, 김 동호, 이 중대 등의 자기보다 나이가 많은 사람들에게 반 존대, 반말, 욕을 자주 했는데 다들 그냥 콘셉트라"
235,가끔 형 독의 닉네임을 보고 새로 들어온 시청자가 머 독의 형인 것을 모르고 머 독 짭이냐는 식의 채팅을 치는 경우가 있었기도. 머 독은 형 독을 이름으로 막 부르기도 했고 형 독에게 욕을 서슴없이 내뱉기도 했는데 형 독은 크게 신경 쓰지 않는 모습이었다.
236,해 당 주장을 하는 네티즌들이 머 독 유 튜브에 박제되어 많은 욕을 먹기도 하였다.
237,예전에 악마 같은 머 독과 반대되는 성격이라며 천사라고 불릴 때가 있었는데 예전에 욕을 안 쓸 때라면 모르겠지만 지금은 천사 같은 성격이라고 하기는 힘들어 보인다.
238,그 형에 그 동생 14 민 수: 말 그대로 2014년 당시의 형 독을 칭하는 단어이며 당시 형 독이 대만 전에서 'X [63 ]X 가리 마 리드 X 끼' 란 욕을 한 것이 재조명되어 생긴 별명이다.
239,"씨 맥과 같이 시청자를 많이 비난하는데 그들의 평균 티 어가 실버이면서 프로, 아마추어 최상급 유저들의 작은 실수들을 지나치게 욕하기 때문이라고. 도수, 이 재석 등과 함께 다음팟에서 가장 인기 있는 방송을 했다."
240,과거 Apdo God으로 활동할 당시 욕설 및 패드 립을 일삼았다는 사실으로 인해 논란이 되었다.
241,현재는 이미지 개선을 위해 노력하면서 욕설을 하는 모습은 잘 보이지 않지만 2013년 당시에도 나쁜 게임 매너로 인해 인성 면에서는 최상 위권 유저들 중에서도 좋지 않은 인물이였다.
242,"그러나 도파의 인성 면에서 좋은 평을 하는 유저들이 거의 없는 이유에는, 욕설 및 트롤링보다도 후술할 대리 게임 문제가 가장 크다."
243,"허나 통 누나가 화장실을 갔다오는 사이 중국인들에게 금지어 수준인 천안문 사건 관련 영상이 틀어져 버렸고, 중국인들은 도파에게 반란 분자, 미개한 놈 등의 욕을 퍼부었다."
244,이 날 동안 도파는 총 7만 2천위안 [65] 을 벌고 있었으나 욕으로 인한 후원이고 영구정지로 인해 수익 창출이 불가능하다.
245,이 아바 타는 노 움에게 욕이란 욕은 다하고 뻥하고 강하게 걷어찬 후 ' 피칭' 이라는 효과음과 함께 노 움이 하늘 위로 보이는 이중 트랩을 선사한다.
246,나이를 헛먹은 게 아닌 것을 증명하듯이 욕도 매우 찰지게 잘한다.Leafions
247,"대월 향에게 Sod off 같은 영국 발음 드립을 알려준 장본인. 그리고 월 향은 그녀에게 닥 ㅊ, 꺼 ㅈ, ㅆ 발 3 콤 보 욕을 알려줬다"
248,"물론 13 시즌에는 삼성 오존이 조별 리그에서 고전하다가 순위 결정전에서 패하며 광 탈, 14 시즌에는 나 진 실드가 조별 리그에서 힘겹게 1위는 했으나 8 강에서 LPL 팀에게 3:0 셧아웃을 당하는 등 1 팀씩 굴욕을 맛보기도 했다."
249,그리고 몇 달 후 2017 롤 드컵에서 SKT와 삼성이 리프트 라이벌 즈 때의 치욕을 몇 배로 설욕하였고 결국 전년도와 비슷하게 결승에서 한국 내전이 다시 성사되며 그 클래스를 전세계에 재입 증했다.
250,"속사포 해설 때문에 빨리 지나가곤 하지만, 은근 욕설도 있는 편. 하지만 적절한 삐처리와 순화된 자막 [10] 그 외에 게임은 문화다,"
251,스스로도 밈 욕심이 많은 모양인지 축 약어를 많이 사용하는 편. 나중엔 아예 게임 축 약어를 가지고 영상 한 편을 따로 만들기도 했다.
252,"""며 억울하게 욕을 먹었다."
253,얘 들아. 형이 착한 일 하고도 욕먹을 수가 있어요
254,"욕은 줄인다고 했으나 안 하는 편이라 할 수도 없는 것이 사실.- 성격에 대한 악플은 위와 같은 16년도에 시청자가 "" 컨셉이다"
255,"vs 인성 파탄이다"" 로 나뉘어 채팅 창에서 자주 안 좋은 얘기가 오갔으나 아랑곳하지 않고 17년도 토크 온 컨텐츠를 통해 말 빨 좋다는 이미지가 생겼고 이것이 어느새 컨셉으로 자리 잡힌 상태.- 다만 엄밀히 따지자면 꿀 탱탱은 비슷한 점수 대의 방송인보다 비하 발언의 수위나, 욕설의 수위가 낮은 편이다."
256,"똑같이 아프리카에서 방송하는 저라뎃의 경우 최근 영상에 서 조차 1분 30 초대에 리 시를 안해 주는 서포터에게 욕설을 하며 미아 핑을 찍는데 반해, 꿀 탱탱은 최소한 아군에게 그런 실수( 리 쉬를 꼭 해 줘야 하는 것도 아니다."
257,프로 씬은 거의 노 리 쉬고 ) 로 욕설을 하진 않는다.
258,전에는 공포 게임 인 아웃 라스트를 도전했는데 초장부터 멘 붕 한 것은 기본 이요 시체나 뭐가 달려오자 욕을 거하게 내뱉으며 멘 붕 하는 모습이 압권. 기본적으로 공포 게임과는 체질이 안 맞는 듯하다.
259,"""를 5번만 치면 봐주겠다며 굴욕을 선사했다."
260,그래서 계속 요구하면 욕을 할 정도로 싫어한다.
261,년 12월 22일에 유 튜브에 3년 전 마크 포켓 몬 모드와 현재의 마크 포켓 몬 모드를 비교하는 영상을 올렸는데 3년 전 마크 포켓 몬 모드가 퀄리티가 낮다 고 무시하는 듯한 말투로 말해 댓 글로 많은 사람들에게 욕을 먹었다.2018
262,""" 라며 많은 욕을 먹었다."
263,"대표적으로 12세 이용 가 게임 물 인 리그 오브 레 전 드로 치러 지는 롤챔스를 SPOTV GAMES에서는 12세 이상 가로 내보내지만 OGN에서는 15세 이상 가로 내보낸다 든지... [56] 스타 크래프트 승부조작 사건, 스타 크래프트 2 승부조작 사건 2010년 5월 16일, 조 폭 및 전 현직 프로 게이 머가 가담한 승부조작 사건이 터졌다( 언론보도). 이 사건에 당시 온 게임 넷에서 운영하는 프로 게임 단인 하 이트 스파 키즈에 소속된 선수들과 스파 키즈를 거쳐 간 선수들이 다수 가담한 사실이 드러났으며, 감독과 구단 프런트의 소극적인 대처가 사태를 키웠다는 게 밝혀져, 온 게임 넷도 욕을 먹었다."
264,프레임 드랍의 제 1 해결책인 것을... 그리고 또한 우승자 결정 당시 이미 경기가 반 이상 지난 상태였던 롤 드컵 중계를 위해 첫 리그의 결승전 이자 블 리 즈 컨 진 출자 최종 결정전에서 시상식을 잘라 버려 히 오스 팬들의 욕도 먹고 롤 팬들의 욕도 먹는 과업을 달성했다.APEX
265,"일단 이에 대해서는 두 가지로 갈렸는데 'HD 서비스가 결제한 사람도 욕할 만큼 후졌으니 당연하다' 는 의견과, ' 아무리 그래도 돈 쓰는 거 싫어하는 국내의 인식상 유료 서비스는 안되는 게 아닌가' 는 의견으로 갈렸다."
266,일단 LCK 중계는 2018년에도 계속 이어 간다지만 사실상 OGN에서의 LCK는 시한부 인생인 상태라서 의욕이 떨어졌는지 옆의 스포티비가 억제기 타이머도 넣고 인터뷰 준비도 재밌고 의욕적으로 하는 것에 비해 발전하는 것 하나 없어 비교되는 수준. 그래도 해설 차이는 여전히 넘 사벽 이미 히 오스 리그 인 HGC Korea도 트위치 VSL로 주관방송 사가 이전된 상황에서 만약 오버워치에 이어 롤 챔스 중계까지 더 이상 하지 않게 된다면 중계권 논란 등으로 사이가 악화된 블 리 자드 엔터테인먼트나 라 이엇 게임즈와의 관계를 아예 청산할 수도 있는 상황이다.
267,"글자네의 뒤를 졸졸 따라다니는 사람 중 글자네 맘 대루가 있는데 초창기에 사기를 많이 쳐서 욕을 많이 먹었는데 점점 신뢰를 쌓고 있는 중. 글자네 대루 임, 타일 런 트라는 이름으로 루 타 비스 먹자를 도와주고 있었다."
268,나중에 방송에서 얘기가 나왔는데 10분 전만 해도 웃던 시청자들이 그 후 핫 타임을 못 받았다 욕해서 너무 슬펐다고.2016
269,"요약하자면 누군가가 자신을 뒷담 및 비하를 했다는 내용인데, 적지 않은 욕설도 포함되어 있다."
270,"웬만하면 욕을 하지 않던 글자네도 욕을 사발로 뱉어냈으며, 시청자들은 어이가 없다는 반응. 그리고 BJ 들의 축하 영상과 메이 플쑈 리턴 즈 때 함께 했던 이 신애, 팡이요, 대정령이 축하 메세지를 남겼다."
271,"백 머니와 함께 백월 킹, 백토 바이, 꼬꼬 춤, 리액션 모음집 평소 방송 채팅 창 분위기는 다른 롤 BJ 들에 비해 클린한 편에 속한다."
272,하지만 컨텐츠를 진행하면서 유동 시청자들이 많아 질 때 채팅 창에 욕이 도배되기 시작하면 그는 인 게임에서 실력 발휘를 못하기도 하며 슬럼프를 겪는 모습도 자주 볼 수 있다.
273,과거의 영광에 취해 다 딱 이인 현실을 받아들이지 못하고 우연히 한판 캐리 한 거 가지고 들떠서 자신을 다 딱이라고 욕하는 시청자들에게 하는 말이다.
274,"여우비는 본인 방송에 너무 백크 언급만 되는 것에 힘들어 했고 백 크는 방송에서 "" 우비랑 우 결하는 건 저도 좋아하고 재밌지만 님들이 조금만 저 잘못해도 욕하니깐 제가 뭘 어떻게 진행을 할 수가 없어요"
275,주 키니가 김 블루 등과 스쿼드 하는 영상을 올리면 같이 안하고 있어도 목소리가 많이 출연하는 편.( 디스 코드 연결되어 있어서 그런 듯) 그리고 어몽어스에서 본인의 실수로 욕을 먹은 적도 있다 수진이 같은 롤 큐 소속의 유 튜버 수진이 와 자주 듀오나 스쿼드를 돌린다.
276,"그래서 인지 방송 중 욕설을 거의 하지 않으려 하고, 단어 사용에도 매우 주의를 기울이는 모습을 보였으나 현재는 그 모습이 어느 정도 무너졌다."
277,"오늘 내일! 뼈 보여! 내장 보여!- 특유의 딸 피 브리핑."" 피 1 피 딱 1 욕하면 죽어!""- 특유의 딸 피 브리핑 2. 자리야 초고 추장!- 자리야 고에너지 브리핑 헤드야 또 자냐."
278,예전 홍 방장과 같이 한 방송을 보면 홍 방장이 자꾸 자꾸 자주 자주 계속 오프라인에서 만남을 가졌던 빅 헤드의 얼굴을 지적하면서 욕하기도 했다.
279,하지만 탄소비가 너무 심했던 것도 있고 들어가자마자 스카웃에게 걸리는 바람에 몰려오는 적들을 못 버티고 전멸. 제대로 멘 붕 해서 제작자를 욕했다.
280,욕설이나 불편한 표현을 쓰지 않는 것도 장점이다.
281,현재까지 논란 없이 유 튜브를 이어 가고 있는 클린 유 튜 버이다.
282,맛 남의 광장에서도 셀프 디스할 정도. 오죽했으면 링크의 치즈 호떡 [93] 이 나온 이후 모친이 거기 가서 요리 못한다고 욕이나 먹지 않았음 한다고 당부를 했을 정도. 맛 남의 광장 10 화에서는 도무지 요리 실력이 늘지 않는 터 라 요리 대신 다른 특산물 활용법을 가르치기에 이 르 렀 다. 세계 어느 곳을 가도 E.L .F. 들은 희철에게 ' 사랑해요
283,같은 소속 사의 동료 남자 연예인들과 그렇고 그런 사이인 것처럼 소문이 나서 곤욕을 자주 치렀다고
284,"덧붙여서 중간 중간 몇몇 말들이 묵음처리 된 걸로 보면 화끈하게 욕설도 쓰면서 플레이한 듯. 롤 관련해 선 시즌 2 때는 골드, 시즌 3 때는 플래 티 넘, 시즌 4에는 다이아 티 어로 마무리했다."
285,"주요 사건으로는 야밤에 갑자기 시원에게 욕한 일, 규현 첫 날 정색하면서 말하기 등이 있다."
286,[36] 전술했듯 병무청 관계자는 스티브 유 때문에 연예인들의 병역 문제에 대중들이 굉장히 민감 해졌으니 4 급 판정을 받고 보충역으로 복무하면 그나마 욕을 적게 먹을 수 있다고
287,그리고 아형에서는 롤을 못 해서 희철에게 욕을 먹어서 롤을 접은 적도 있다고
288,나는 캐리다에서 김희 철 동호회로 같이 출연했는데 방송 중 상대팀으로 나온 나 진 이사의 전화통화에서의 발언에 의하면 셋이 서 자주 같이 게임을 즐기는 것으로 보이며 나 진 이사는 게임 중에 희철에게 욕을 많이 먹었다고
289,리그 오브 레 전드 랭크 게임에서 다이아 티어에 서식하고 있는 것은 이미 유명한 이야기. 이 현우와 친해서 방송에 시시때때로 출연하는 것은 물론 박 정석과는 서로 욕설까지 주고받는 동갑내기 친구 관계다.
290,"롤 인 벤 등에서는 거의 완벽한 객원 해설이었던 스피릿에 이어 두 번째로 좋았던 객원 해설이라는 평. 갱 맘은 해설 자체의 수준은 아주 높았으나 [70] 욕 심이 컸었는지 오디오가 너무 물렸고, 샤이는 목소리 톤이 해설에 크게 어울리지는 못했고, 천주는 0개 국어 구사자라는 소리를 들은 반면 김희철은 딱 본인이 잘할 수 있는 포지션을 캐치하고 방송 경력 10년에 걸맞는 훌륭한 모습을 보여주었다."
291,쵸쵸 우 피 셜 쵸쵸우의 트위치 채널은 클린 하다고 한다.2020
292,"[32] 몇몇 팬 분들이 커버하셨던 곡 니 아가 생각난다고 [33] 그럴 만도 한 것이 쵸쵸우는 자신이 노력해서 구독자와 조 회수를 점차 늘려 나가는 다른 유 튜버, 스트리머와 달리 도도한 친구들의 영향으로 30만 이상의 구독자를 찍었고, 또한 팬 관리 미숙으로 커버 송 원곡을 업 로드한 사람이 무개념 팬들 로 인하여 욕을 먹게 되었다."
293,[ 예시] [121] [122] 예외적으로 10 선비 영상에서는 욕설을 삐처리까지 하고 내보냈다.
294,예의 바른 컨셉이라면서 지금껏 각별의 영상 중 욕이 제일 많이 나온다.
295,방송에서는 언행을 조심하는 편이지만 멤버들 말에 따르면 방송 전 통화나 직접 얘기할 때는 욕설을 자주 하는 편이라고 한다.
296,욕을 굉장히 찰지게 한다고 눈꽃이 언급하였다.
297,"가끔 서버용이라고 10000rpm, 15000rpm 을 파는데 거의 다 SCSI 혹은 SAS 라 서버컴퓨터 보드가 아닌 이상 쓰기 어렵고 별도로 PCI 슬롯에 SCSI/SAS 카드를 달아 연결한다 해도 SATA3 SSD만 못 하다. 정 속도가 욕심이 나면 SSD를 쓰는 게 좋다."
298,참고로 코렛트가 자신에게는 한 번도 욕을 하지 않았다고
299,그럼에도 욕을 들어도 싼 코 샤샥 형 독: 견 와 독 합방 멤버. 과거 견자희가 머 독과 친분이 있었을 당시 알게 되었다고
300,[52] [53] 파크 모가 말하길 마플은 현실에서도 욕을 한 번도 쓰지 않는다고
301,"금지 게임 중 뭐 해 주세요 금지 시청자 수 언급 금지 채팅 창 중계금지( 예: ~~ 하지 말아 주세요, 채팅 규칙 복사 붙여 넣기 등등) 이 모 티 콘 연속사용 금지 타 스트 리머( 유 튜버) 언급은 최대한 자제해 주세요 욕설, 좀 그런 드립, 도배, 비방, 싸움, 저격, 친목 금지 - 싸우면 누가 잘했건 잘못했건 전부 강 퇴 훈수 이 빠득빠득 금지 스포 강 퇴 카운터: 마인 애플, 꾸몽과 함께 팀 샐러드의 멤버로, 블 로그 시절 바운스 볼 공략을 계기로 팬이 돼서 현재 같이 방송을 하고 있다."
302,[151] 실제로 아무리 화 나도 욕을 사용하지 않는 걸 보면 대단한 멘 탈을 지니고 있단 것을 알 수 있다.
303,"유 튜브 초기에는 욕심이 있어서 해외 코 인이라도 타려고 했지만, 국내에서 인기가 많아 진 뒤로는 운영할 필요가 없다고 여겨 버렸다고."
304,블 로그 시절엔 욕을 사용한 영상이 아주 가끔 보인다.
305,파크 모도 마플과 함께 방송하면서 욕이 줄었다고
306,[118] 과거에는 착한 말 금지였으나 기준이 모호해 수정했다.
307,"유 튜브나 트위 치에선 이 과정이 생략됐기 때문에 갑 툭 튀라 고 욕하는 사람도 많았던 것. [128] 시간 문제와 정신력 문제도 있고, 스토리 탈 출맵 제작과정은 스포가 되기 때문에 유 튜브에 못 올리는데 그러면 탈출 맵을 만들면서 업 로드용 영상을 찍어야 하므로 고생이 이만저만이 아니라고 한다."
308,[163] 마플의 4대 욕구 중 하나 [164] 심지어는 SPEEEEEEED!!!! 맵 밖으로 나가보면 NPC 마을이 터진 흔적이 존재한다.
309,다른 팬들이 ' 하지 마라. 이게 오히려 팀 샐러드를 욕 먹이는 짓이다.
310,"""라고 하였고, 탬 탬버린은 "" 면 전에서 내 욕하는 남자랑 왜 사귀겠냐"
311,"※※※※※ 채팅 룰( 어 길시 밴) ※※※※※1. 시청자 수 언급 금지 – 채금, 밴 2. 뜬금없는 타 스트 리머 언급 금지 - 밴 3. 타 스트 리머 비교, 비하, 비난 금지 ( 영도 포함) - 밴 4. 채팅 창에서 욕설 및 싸우기 금지 – 채금, 밴 5. 채팅 창에서 관리 금지 [ex)~ 하지 마세요] - 채금 6. 시청자 닉 언급 및 친목 금지 – 채금, 밴 7. 타 커뮤니티 사이트 언급 금지 – 채금, 밴 8. 타 방송에서 탬 무 새 짓, 본방송 앵무새 짓 금지 - 밴 9. 저에게도 선은 지켜 주세요 (과 몰입해서 욕하다가 걸리면 밴) - 밴 10. 신상 언급, 외모 언급, 154 언급은 채팅과 도네 모두 금지 - 밴 11. 이모 티 콘 (6 개 이상), 특수문자 (12 개 이상) 금지 - 타임 아웃 60(120) 초 12. 장 문의 채팅으로 도배 금지 – 채금 13. 팬 아트, 일 러스트 평가 금지 - 밴 14. 컨텐츠 중 비꼬지 않기 [ex) 또?, 노 잼, 나 감] - 밴 15. 내 수용 클립 수출 금지 [ex) 노래, 우리 방만 아는 밈, 엠 넷 등] - 밴 16. 어 그로 성 채팅 금지 [ex)( 땅) 꼬( 마)+ 츄( 즈 미) 등] - 채금, 밴 17. 방송 컨텐츠 강요 금지 [ex) 합 방, 캠 방 등] - 밴* 그 외에도 방송과 전혀 상관없는 언급으로 분위기를 흐리시면 밴입니다"
312,"편가르고 욕설이 난무하는 트기장이 열리게 되었고, 슬로우( 저속) 모드까지 켜게 되었다."
313,"3. 싸우지 마 세요, 욕도 하지 마세요.4."
314,"[9] 욕도 적게 하며 어린 목소리와 해맑음, 이유를 불문하고 터져나오는 웃음 덕분에 이상적인 여동생 같다며 좋아하는 팬 덤이 많은 편. 상술한 대로 웃음이 많은 편이며 반응도 실시간으로 잘해 줬던지라 시청자나 타 스트 리머들의 개그를 곧잘 받아 주는 걸 넘어서 그들의 예상조차 넘어서는 리액션을 보여주기도 하고 처참한 게임 실력과 실력 외의 실수, 낮은 항마력 등으로 팬 덤은 괴롭히는 모습이 귀여워서 일부러 괴롭히는 행위를 즐기기도 했다."
315,방송한 지 10년이 넘은 베테랑 방송인으로 롱런하면서도 사건 사고가 없는 클린한 방송인이다.
316,"스스로에 대한 비하, 욕설을 한 내용들도 있었다고."
317,물론 어느 정도는 방송의 재미를 위한 드립이라고 둘러댔지만 시청자들이 여태까지 생각했던 풍월 량의 클린 이미지는 완전히 박살 나 버렸다.
318,방송에서 욕을 하지 않으며 [30] 드립 수위도 신경을 쓴다.
319,또 한 채팅 창에도 욕설과 반말이 가득 한 분위기를 싫어하는 시청자들이 다수이기 때문에 지금의 평화적인 방송 분위기를 성공적으로 구축했다.
320,"[31] [32] 본인은 누구든 시청할 수 있는 캐쥬 얼 적인 방송을 지향하기 때문에 이러한 방송환경을 구축한 것이라 답했고, 본인도 욕을 먹는 것이 싫어 욕을 잘 하지 않는다고"
321,아프리카 TV 특별상 2016 아프리카 TV 대표 BJ 50인 수많은 인터넷 스트리머와 달리 풍월 량은 방송에서 욕설을 잘 하지 않으며 채팅 창도 상대적으로 깨끗하다.
322,"이를 보고 많은 사람들이 풍월 량을 클린 하다고 하지만 자신은 클린한 것이 아니며, 그저 자신이 욕을 듣기 싫기 때문에 자신부터 욕을 하지 않는 것이라고 술 먹 방 중에 말했다."
323,대신 영어로 된 욕은 입버릇이나 장난 식으로 꽤 자주 쓴다.
324,"극 딜 하는 시청자들이나 심한 욕을 내뱉은 시청자들을 강 퇴하는데, 이를 ' 목을 뽑는다' 라고 표현하는 것 또한 특징이다."
325,"달라고 부탁함과 동시에 채팅 방 내에서 씹덕이나 씹선 비, 프로 불편 러의 사용을 자제해 주고 욕설, 지나친 도배 [47] 등을 하는 자가 있으면 스크린 샷을 찍어 풍월 량 본인 이 메일로 보내면 수위에 따라 최대 IP 밴을 할 수 있도록 하겠다고"
326,그 외에도 ' 김 여사' 등과 같은 특정 성을 비하하는 어감이 좋지 않은 말들이 있던 만큼 풍월 량의 입장에서는 클린 채팅 문화를 만들기 위해 어마어마한 수익요소를 제거 하면서까지 막을 수 밖에 없었다.
327,드디어 배틀 그라운드 파트너 BJ가 되었다!! 확 킬 충( 사람들이 처음에는 욕했지만 이재는 확 킬 송도 나온다.)
328,바 견이 키우기 바 견이 코만 지기 [28] [29] 바 견이 목욕시키기 바 견이 견 착하기 바 견이 집어 던지기 바 견이 가방에서 구독자들 물건 나오기 [30] 바 견이 한테 호통치 기 바 견이 집어던지고 다시 주어 오기. 이상한 짓하고 편집자한테 편집 하라고 화내기. [31] 절대 편집 안하는 편집자 안 티 팬 아트 보기. 바 견이 탈 쓰고 짖어 대기 바 견이랑 참 참참 하기 바 견이랑 가위바위보하기 인형 이겨 놓고 엄청 좋아한다.
329,"[25] 친 목, 타 스트 리머 언급 및 비교, 지나친 꿀 탱탱 언급, 어 그로, 성 드립, 패 드립, 욕설, 도배, 외모 비하는 제제 사유이지만 심하지만 않으면 두고 보는 편이다."
330,"텐션이 높을 때는 웬만한 드립을 다 받아 주지만 딱 봐도 기분이 나빠 보일 때 [26] 잘못 걸리면 욕 먹고 강 퇴당하고 블랙당할 수 있으니 눈치껏 잘 사리도록 하자. 방송 초기엔 머리띠도 하고 예쁘고 여성스러운 옷을 주로 입었으나, 현재는 박시하고 펑퍼짐한 후드 티나 럭비 선수를 연상시키는 옷을 주로 입고 방송을 한다."
331,나중에 방송한 영상을 보여드릴 예정이라고 하는데 욕이 없는 방송 편이 있을지 의문이다.
332,"주로 "" 슈 발"" 이라는 욕을 주로 입에 달고 게임을 한다."
333,채팅으로 욕을 할 땐 필터를 피하기 위해 ' ^^ ㅣ 박' 이라고 한다.
334,외모가 귀여워서 욕마저 귀엽게 들린다.
335,""" 슈 발"" 외에 "" 썅 노무 쌕 꺄!"", "" 개 노무 쌕 꺄!"" 라는 욕도 들을 수 있다."
336,욕설로 인한 게임 정지를 방지하기 위해 빡대가리를 박대 갈로 순화시켜 표현한다.
337,서로 가 의견이 달라 GTT 는 일에 욕심이 있고 선비는 외롭고 힘든 사람인데 사랑을 줄 사람이 필요해서 합의 하에 헤어졌다고
338,티어 엔 큰 욕심이 없다고 방송에서 말한 바 있다.
339,"한 팬이 별 풍선을 선물하면서 전자 여성 [42] 을 통해 BJ에게 "" 슈 발"" 이라는 욕을 해 달라고 요구했다."
340,"[20] 핑 맨 의 방송은 악어 크루가 자체적으로 욕설& 외설적인 콘텐츠를 필터링 했던 시기에도 나름 수위가 높은 편이었고, 지금도 그러한 편이다."
341,"비세라 클린 업부터 시작해서, 유행하는 배 틀 그라운드 게임 영상도 부적절한 영상이 달렸다고"
342,"이때 문에 초등학교 혹은 중학교 하교 시간인 오후 2시부터 5시 정도 까지는 빠른 대전을 비롯해서, 경쟁 전 마저도 게임의 의도와는 전혀 상반된, 소통 없는 조합을 하거나, 괜한 어 그로, 욕설도 난무하는 모습도 종종 보여 진다."
343,똑같이 콘텐츠 부족으로 리뷰하며 욕을 한 사발 내뱉은 스타워즈 배 틀 프론트와는 달리 굉장한 호평조다.
344,만약 욕설 채팅이 보인다면 절대 맞받아치지 말고 그 즉시 닉네임에 우 클릭 후 신고 버튼을 눌러서 신고를 해 주자. 신고 횟수가 많이 들어온 유저는 기간한 정의 채팅 금지 [78] 나 접속 차단 등의 페널티를 받는 것으로 알려 져 있다.
345,콘텐츠 오버 워치/ 영웅 오버 워치/ 영웅 갤러리 오버 워치/ 전장 오버 워치/ 이벤트 모드 오버 워치/ 빠른 대전 오버 워치/ 아케이드 오버 워치/ 경쟁 전 오버 워치/ 게임 탐색기 오버 워치/ 인공지능 상대 미디어 믹스 오버 워치/ 단편 애니메이션 오버 워치/ 단편 만화 오버 워치/ 단편 소설 오버 워치/ 배경 이야기 오버 워치/ 기록 보관소시스템 오버 워치/ 의사소통 오버 워치/ 업적 최고의 플레이 역할 고정평가 오버 워치/ 평가 오버 워치/ 문제점 오버 워치/ 사건사고 오버 워치/ 표절 논란 오버 워치/ 서버 다운 기타 오버 워치/ 출시 전 정보 오버 워치/ 패치 노트 오버 워치/ 용어 오버 워치/ 성우 오버 워치/ 사양 옴 닉 사태 유행어 고급 시계 겐트 위한 시계 충 흰 흰 파 흰 류 승 룡 기모 찌! 석양이 진다... 심해( 오버 워치) 원 챔( 오버 워치 )e 스포츠 오버 워치 월드컵 오버 워치 리그 광저우 차지 댈러스 퓨 얼 LA 발리 언트 LA 글래 디에이 터 즈 서울 다이 너스 티 상하이 드래곤 즈 뉴욕 엑셀 시어 런던 스핏 파이어 필라 델 피아 퓨 전 샌 프란시스 코 쇼크 보스턴 업 라이징 플로리다
346,"그나마 이전과는 달리 대표적인 문제점 몇 가지가 해결된 것이 하락세를 진정시켰는데, 우선 욕설 제재가 매우 강화되어 조금이라도 부적절한 단어 사용이 포착될 시 바로 제재가 들어가고, 다른 사유로 신고도 과거보다 훨씬 제재가 적극적으로 이뤄 진다."
